tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
76,Ust_76.jpg,Alt_76.jpg,ok,ok,61.8,185/65 R14,1.14,86H,1.05,Maxxis,3.8,,0.0,4 Mevsim,1.22,,0.0,530KG | 1168LBS | 350KPA | 51PSI | 9LYA8J | 1Y0,,0.0,Tüpsüz,0.98
77,Ust_77.jpg,Alt_77.jpg,ok,ok,17.8,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
78,Ust_78.jpg,Alt_78.jpg,ok,ok,52.3,205/55 R16,4.31,91V,2.04,Lassa,5.42,Multiways 2,0.79,,0.0,0226,0.96,55R16 | S2W2R3B | 1POLYESTER | 55R10 | 8KX082,,0.0,Tüpsüz,3.22
79,Ust_79.jpg,Alt_79.jpg,ok,ok,74.8,185/65 R14,2.28,86H,1.12,Crosswind,10.39,Comfort Peak,4.02,,0.0,1026,2.66,65R14 | 6LL410 | 05H | 44PSI | LL243826 | LOAD530KG,Serbia,2.24,Tüpsüz,3.26
80,Ust_80.jpg,Alt_80.jpg,ok,ok,49.6,315/35 ZR22,4.41,111Y,3.04,Continental,9.34,SportContact 7,2.34,Yaz,1.75,0125,1.78,032YBU | 1CP | 0125 | E4 | ICP | E02137816,,0.0,Tüpsüz,2.12
81,Ust_81.jpg,Alt_81.jpg,ok,ok,75.5,185/65 R14,4.16,86H,1.1,Crosswind,9.34,Comfort Peak,4.29,,0.0,1026,1.78,44PSI | 6LL410 | 65R14 | 2STEEL | 1NYLON | 1168IBS,Serbia,3.07,Tüpsüz,3.07
82,Ust_82.jpg,Alt_82.jpg,ok,ok,84.8,185/65 R14,1.18,,0.0,Crosswind,6.47,Comfort Peak,4.37,,0.0,1026,1.78,65R14 | 2STEEL | 1NYLON | 44PSI | 6LL410 | 300KPA,Serbia,3.07,Tüpsüz,3.07
83,Ust_83.jpg,Alt_83.jpg,ok,ok,80.4,175/65 R14,4.99,86T,2.7,General Tire,4.3,Altimax One,3.88,4 Mevsim,4.02,0526,2.6,65R14 | S2WR2 | 48EX | 2NW2 | ER | EXCEED,,0.0,Tüpsüz,4.27
84,Ust_84.jpg,Alt_84.jpg,ok,ok,84.0,185/65 R14,2.25,86H,1.12,Crosswind,9.2,Comfort Peak,5.51,,0.0,1026,2.62,6LL410 | 05H | LL243826 | 44PSI | S2W2R3B | 530KG,Serbia,3.28,Tüpsüz,4.32
85,Ust_85.jpg,Alt_85.jpg,ok,ok,72.6,185/65 R14,1.2,,0.0,Crosswind,8.46,Comfort Peak,4.47,Yaz,0.99,1026,3.52,6LL410 | 05H | S2W2R3B | 2STEEL | 44PSI | 65R14,Serbia,3.33,Tüpsüz,3.33
