tire_id,ust_file,alt_file,ust_status,alt_status,elapsed_s,ebat,ebat_conf,hiz_grubu,hiz_grubu_conf,marka,marka_conf,desen,desen_conf,mevsim,mevsim_conf,dot,dot_conf,ekstra_lot,uretim_yeri,uretim_yeri_conf,tup,tup_conf
90,Ust_90.jpg,Alt_90.jpg,ok,ok,16.3,175/65 R14,3.16,86T,1.45,General Tire,6.17,Altimax Winter 3,1.42,4 Mevsim,1.93,,0.0,65R14 | 48EX | ASEASO | 2NW2 | NS | UATTRO,Tuf,1.03,Tüpsüz,1.93
91,Ust_91.jpg,Alt_91.jpg,ok,ok,16.1,175/65 R14,4.69,86T,2.88,Lassa,4.08,Quattro,0.98,4 Mevsim,1.65,0226,2.58,65R14 | 8KX082 | ASEASO | NS | 48EX | 175,,0.0,Tüpsüz,4.83
92,Ust_92.jpg,Alt_92.jpg,ok,ok,16.1,,0.0,,0.0,Continental,4.08,AllSeasonContact 2,3.91,4 Mevsim,1.34,0526,0.89,60R15HX | 60R1583H | ICN034ULT | OOTS1VO | 60R15HXL | 60R1588H,,0.0,Tüpsüz,1.9
93,Ust_93.jpg,Alt_93.jpg,ok,okunamadi,8.0,185/60 R88,0.61,,0.0,Continental,9.92,AllSeasonContact 2,6.81,4 Mevsim,5.17,,0.0,034ULT | ICN034ULT | S2H2R3B | 60R158 | 1CN034ULT | NTINENTAL3,,0.0,Tüpsüz,1.64
94,Ust_94.jpg,Alt_94.jpg,ok,ok,17.1,185/60 R15,0.64,88H,0.6,Continental,12.94,AllSeasonContact 2,5.95,4 Mevsim,4.95,0526,2.89,034ULT | 60R1588H | 60R15HXL | CN034UL | ICN034ULT | ONTACT2,,0.0,Tüpsüz,1.03
95,Ust_95.jpg,Alt_95.jpg,ok,ok,13.0,185/60 R15,3.18,88H,1.06,Continental,12.65,AllSeasonContact 2,9.83,4 Mevsim,6.07,0526,2.88,60R15HXL | 60R1588H | 034ULT | 60R15HZ | 60R15H2 | ICN034ULT,,0.0,Tüpsüz,1.67
96,Ust_96.jpg,Alt_96.jpg,ok,ok,16.7,185/60 R15,2.52,88H,1.55,Continental,16.34,AllSeasonContact 2,11.26,4 Mevsim,7.45,0526,0.79,S2W2R3B | 034ULT | NTINEN | TALS | 04 | 02,,0.0,Tüpsüz,3.63
97,Ust_97.jpg,Alt_97.jpg,ok,okunamadi,8.2,185/60 R15,1.59,88H,1.46,Continental,8.28,AllSeasonContact 2,3.47,4 Mevsim,2.84,2825,0.46,60R1588H | 60R15HXL | TINENTAL3 | ICN034ULT | 034ULT | D70247949,,0.0,Tüpsüz,1.92
98,Ust_98.jpg,Alt_98.jpg,ok,ok,17.8,195/50 R15,2.25,82V,2.07,Hankook,0.59,Ventus Prime 4,1.27,Yaz,0.61,1526,2.48,285 | 249370 | 50R15 | TREADW | EAK | 3UUTKA,,0.0,Tüpsüz,2.65
99,Ust_99.jpg,Alt_99.jpg,okunamadi,ok,4.3,,0.0,,0.0,Nexen,0.36,Winguard Sport 2,0.79,,0.0,,0.0,,,0.0,,0.0
100,Ust_100.jpg,Alt_100.jpg,okunamadi,ok,6.4,205/55 R16,1.65,A,0.48,Nexen,3.32,AllSeasonContact 2,0.29,4 Mevsim,0.58,0226,2.6,8KX082 | 55R16 | 155R16 | T350KPO | RA2IAAL | I55R16,,0.0,Tüpsüz,1.77
101,Ust_101.jpg,Alt_101.jpg,ok,okunamadi,4.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0
